,url,id,last_number,header
0,https://www.goodreads.com/list/show/34595,34595,1,Best of 1889
1,https://www.goodreads.com/list/show/21020,21020,1,Best Books 1890
2,https://www.goodreads.com/list/show/21019,21019,1,Best Books 1891
3,https://www.goodreads.com/list/show/21017,21017,1,Best Books 1892
4,https://www.goodreads.com/list/show/21016,21016,1,Best Books 1893
5,https://www.goodreads.com/list/show/21014,21014,1,Best Books 1894
6,https://www.goodreads.com/list/show/20916,20916,1,Best Books 1895
7,https://www.goodreads.com/list/show/20915,20915,1,Best Books 1896
8,https://www.goodreads.com/list/show/20914,20914,1,Best Books 1897
9,https://www.goodreads.com/list/show/20913,20913,1,Best Books 1898
10,https://www.goodreads.com/list/show/5135,5135,1,The Best Books of 1899
11,https://www.goodreads.com/list/show/20833,20833,1,Best books 1900
12,https://www.goodreads.com/list/show/20777,20777,1,Best Books 1910
13,https://www.goodreads.com/list/show/20644,20644,1,Best Books 1920
14,https://www.goodreads.com/list/show/20637,20637,2,Best Books 1930
15,https://www.goodreads.com/list/show/19413,19413,1,Best books 1940
16,https://www.goodreads.com/list/show/19059,19059,1,Best Books 1950
17,https://www.goodreads.com/list/show/23568,23568,2,Best Books 1960
18,https://www.goodreads.com/list/show/13019,13019,2,Best Books 1970
19,https://www.goodreads.com/list/show/8546,8546,2,Best Books 1971
20,https://www.goodreads.com/list/show/12829,12829,2,Best Books 1972
21,https://www.goodreads.com/list/show/11106,11106,1,Best Books 1973
22,https://www.goodreads.com/list/show/11105,11105,2,Best Books 1974
23,https://www.goodreads.com/list/show/12788,12788,3,Best Books 1975
24,https://www.goodreads.com/list/show/12769,12769,2,Best Books 1976
25,https://www.goodreads.com/list/show/5125,5125,2,Best Books 1977
26,https://www.goodreads.com/list/show/11014,11014,2,Best Books 1978
27,https://www.goodreads.com/list/show/10080,10080,2,Best Books 1979
28,https://www.goodreads.com/list/best_of_year/1980,,4,Best Books of 1980
29,https://www.goodreads.com/list/best_of_year/1981,,4,Best Books of 1981
30,https://www.goodreads.com/list/best_of_year/1982,,3,Best Books of 1982
31,https://www.goodreads.com/list/best_of_year/1983,,3,Best Books of 1983
32,https://www.goodreads.com/list/best_of_year/1984,,5,Best Books of 1984
33,https://www.goodreads.com/list/best_of_year/1985,,4,Best Books of 1985
34,https://www.goodreads.com/list/best_of_year/1986,,4,Best Books of 1986
35,https://www.goodreads.com/list/best_of_year/1987,,4,Best Books of 1987
36,https://www.goodreads.com/list/best_of_year/1988,,4,Best Books of 1988
37,https://www.goodreads.com/list/best_of_year/1989,,4,Best Books of 1989
38,https://www.goodreads.com/list/best_of_year/1990,,4,Best Books of 1990
39,https://www.goodreads.com/list/best_of_year/1991,,4,Best Books of 1991
40,https://www.goodreads.com/list/best_of_year/1992,,5,Best Books of 1992
41,https://www.goodreads.com/list/best_of_year/1993,,4,Best Books of 1993
42,https://www.goodreads.com/list/best_of_year/1994,,4,Best Books of 1994
43,https://www.goodreads.com/list/best_of_year/1995,,5,Best Books of 1995
44,https://www.goodreads.com/list/best_of_year/1996,,5,Best Books of 1996
